record_time_ns,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
1785256498265983239,139,941,323,15382,19024,1879,4039,22588
1785256498287157294,140,963,218,7049,8074,1241,4039,10961
1785256498323471360,139,878,214,10017,11385,1207,4039,13985
1785256498364152401,114,889,312,13937,17295,1704,4039,20572
1785256498376083501,114,889,312,13937,17295,1704,4039,20572
1785256498424129320,240,928,216,9783,11178,1129,4039,13912
1785256498442438480,240,928,216,9783,11178,1129,4039,13912
1785256498493064569,230,873,261,11975,13719,1320,4039,16602
1785256498520905276,127,865,179,7892,8957,849,4039,11129
1785256498563827098,126,864,307,14198,17368,1584,4039,20494
1785256498593469486,130,834,243,12232,13989,1510,4039,16936
1785256498625805887,136,855,191,8069,9193,1261,4073,15884
1785256498665469498,129,844,306,15076,18361,1884,4073,21792
1785256498676007535,129,844,306,15076,18361,1884,4073,21792
1785256498720720762,215,884,189,7137,8103,666,4073,10397
1785256498742446578,215,884,189,7137,8103,666,4073,10397
1785256498796293074,229,875,269,14254,16426,1840,4073,19841
1785256498818679227,137,894,164,6135,6960,647,4073,8965
1785256498866569813,145,888,325,15781,19144,2346,4073,23081
1785256498896486624,164,876,262,14177,16556,1700,4073,19911
1785256498917442523,132,871,157,5376,6067,463,4073,7852
1785256498968203528,129,877,327,17246,20668,2080,4073,24344
1785256498975750194,129,877,327,17246,20668,2080,4073,24344
1785256499016038836,209,914,181,3389,3794,398,4073,5863
1785256499042152667,209,914,181,3389,3794,398,4073,5863
1785256499102652346,240,875,277,15307,17819,2051,4347,25859
1785256499116195569,115,884,133,4471,5028,385,4347,6714
1785256499167825430,131,835,317,17163,20636,2112,4347,24282
1785256499175843836,131,835,317,17163,20636,2112,4347,24282
1785256499215800538,235,876,124,3764,4276,306,4347,6114
1785256499267251024,132,878,315,16689,19834,1947,4347,23326
1785256499276196584,132,878,315,16689,19834,1947,4347,23326
1785256499316866230,234,921,136,4040,4578,353,4347,6412
1785256499342715914,234,921,136,4040,4578,353,4347,6412
1785256499402959614,306,1678,419,18366,21421,2080,4347,26146
1785256499416256952,144,932,130,4018,4538,317,4347,6534
1785256499466644705,135,931,308,16389,19410,1961,4347,23022
1785256499501323304,140,934,317,17734,20928,2103,4347,24749
1785256499520948453,142,937,140,4680,5278,370,4084,11143
1785256499566263265,136,933,310,16312,19019,1966,4084,22595
1785256499575701304,136,933,310,16312,19019,1966,4084,22595
1785256499615391500,236,936,142,3183,3573,346,4084,5393
1785256499642316880,236,936,142,3183,3573,346,4084,5393
1785256499700463394,249,866,322,17098,20259,2114,4084,24076
1785256499716618116,120,936,145,4749,5337,412,4084,7217
1785256499766633817,146,901,327,16536,19527,2022,4084,23170
1785256499800735118,148,902,318,17176,20476,2066,4084,24257
1785256499817723746,270,913,160,5464,6173,509,4084,8216
1785256499865696828,139,933,349,16260,18750,1738,4084,22140
1785256499875732641,139,933,349,16260,18750,1738,4084,22140
1785256499918246522,221,877,148,5379,6074,508,4084,7996
1785256499942243277,221,877,148,5379,6074,508,4084,7996
1785256500003098776,233,876,312,15617,18366,2212,4129,26380
1785256500018460745,126,892,179,5934,6718,565,4129,8725
1785256500063568986,115,876,272,14568,16553,2022,4129,20061
1785256500099296587,143,930,322,16216,19111,1843,4129,22663
1785256500118595450,129,866,159,6058,6883,729,4129,8975
1785256500162751593,124,837,269,13886,15896,1582,4129,18917
1785256500176058578,124,837,269,13886,15896,1582,4129,18917
1785256500217490385,210,871,164,4545,5130,749,4129,7296
1785256500242256787,210,871,164,4545,5130,749,4129,7296
1785256500297899491,227,871,295,15171,18174,1663,4129,21498
1785256500321426655,131,927,190,8338,9427,898,4129,11795
1785256500342154037,131,927,190,8338,9427,898,4129,11795
1785256500397843731,232,928,307,14882,17770,1709,4129,21240
1785256500427492671,133,928,196,9691,10947,1100,4143,17675
1785256500460739875,124,865,240,12190,13929,1436,4143,16787
1785256500475900482,124,865,240,12190,13929,1436,4143,16787
1785256500522540134,197,842,178,8975,10147,922,4143,12452
1785256500542520923,197,842,178,8975,10147,922,4143,12452
1785256500595893696,247,870,286,13670,16366,1351,4143,19371
1785256500625201583,124,868,222,11049,12545,1387,4143,15389
1785256500658016131,133,924,224,10550,12008,1185,4143,14664
1785256500698339906,167,1666,432,14411,17396,1859,4143,21885
1785256500721776540,134,945,236,8033,9102,1495,4143,12148
1785256500757574560,133,929,207,10068,11403,1176,4143,14034
1785256500776035606,133,929,207,10068,11403,1176,4143,14034
1785256500827039248,233,863,274,12278,13958,1376,4143,16896
1785256500842590680,233,863,274,12278,13958,1376,4143,16896
1785256500902105124,236,924,307,14853,17858,1635,4105,25367
1785256500929621478,123,862,254,14603,16594,1684,4105,19891
1785256500955251762,143,930,203,8438,9503,808,4105,11768
1785256500975905931,143,930,203,8438,9503,808,4105,11768
